domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
gizmodo.com,0.06463030276888972,0.17567608546359645,0.48488861179078574,0.1548618965424848,23.0
www.boredpanda.com,0.022647128755083294,0.22118265166646922,0.46809654991473176,0.2056131348370069,22.0
www.vanityfair.com,0.04617888998054287,0.10689824041836965,0.387128685899347,0.1375767201522432,22.0
pagesix.com,0.06837579307817403,0.27857545696132996,0.46488401589592065,0.22493416047192985,21.0
www.celebitchy.com,0.08528339861197004,0.1610432613878579,0.42745965780251494,0.24109341467812664,20.0
www.jezebel.com,0.06845784857503608,0.2064436246096149,0.4469369889369889,0.14908345535108952,20.0
www.cbc.ca,0.12207742103575438,0.1640689518973585,0.34386036288814065,0.2305336051372261,18.0
screenrant.com,0.11570065888563362,0.18121136677171684,0.45063658470224127,0.1978820392729148,18.0
www.marca.com,0.07147556918390251,0.18564956065383792,0.4273295454545455,0.18884063712952381,18.0
www.cnn.com,0.09975041085457752,0.16687992574221744,0.41353627545294214,0.17550031192475488,18.0
variety.com,0.07159462269756388,0.17062941131937845,0.4494737819370172,0.24113192488105104,17.0
timesofindia.indiatimes.com,0.10127505800299919,0.20813935612241916,0.35398102170160994,0.18155512714568312,17.0
japantoday.com,0.10512479707792208,0.3073129554801554,0.35556479978354977,0.28339339849433615,16.0
www.cosmopolitan.com,-0.00610006313131313,0.14655060143793588,0.35425702335858583,0.15798205360499246,16.0
www.newser.com,0.07845482603815938,0.1123931335261861,0.45662205387205385,0.2072033240374221,15.0
comicbookmovie.com,0.14290037277537276,0.1128724854432399,0.5035334295334295,0.17143927057291483,15.0
www.thecut.com,0.04968969947286273,0.14320410297268546,0.392817705725869,0.18315299757672118,14.0
nymag.com,0.053725543936582895,0.202055519922906,0.42728835197991044,0.15703137007333132,14.0
www.usatoday.com,0.07796485260770976,0.31990809503949963,0.49239229024943315,0.2518180730341741,14.0
www.cinemablend.com,0.07113765203050917,0.1143486655505719,0.4388325860647289,0.10290734955545307,14.0
www.bostonherald.com,0.06711142392960576,0.1887772793295297,0.3954371806644534,0.19085390517604142,13.0
www.nbcnews.com,0.0025049487549487558,0.11826553400178959,0.2652694296444297,0.22176091395330644,13.0
www.theverge.com,0.0018068637711494866,0.24169436907415126,0.44372181390038534,0.20559268025724647,13.0
www.vox.com,0.030241210809392623,0.20073553727371055,0.35739513012240287,0.22566773102872917,13.0
www.foxsports.com,0.2110381593714927,0.295296036991637,0.34787908850408855,0.1524551474658549,12.0
www.dailysignal.com,0.09365698987226763,0.08307823821714952,0.4546788486719042,0.1988413411798076,12.0
www.vulture.com,0.052976641414141414,0.17258118850356716,0.363956228956229,0.1653435855996696,12.0
finance.yahoo.com,0.08093644781144782,0.2124521726281578,0.38000420875420876,0.1773308197641485,12.0
www.wnd.com,0.1233885234534585,0.18562147167878418,0.35705686268997955,0.15560915516175763,11.0
www.theatlantic.com,0.016686179981634526,0.19810621269533607,0.4298912829594647,0.19597559501016507,11.0
www.pbs.org,0.0924127640036731,0.1848349823143022,0.32102999693908785,0.2874268664994608,11.0
www.the-independent.com,-0.027732683982683984,0.12512047414440564,0.29025769054178147,0.1399112162798777,11.0
www.dw.com,0.003583797155225736,0.1955563858090835,0.2891032776747063,0.21167443738542852,11.0
www.wonkette.com,0.007041847041847035,0.178295861342752,0.4183416305916306,0.16256007026151736,10.0
www.bbc.co.uk,0.14464556277056279,0.12683574774164008,0.4181504329004329,0.09655277088173218,10.0
www.eonline.com,0.09376190476190475,0.2151640669623211,0.5479940476190477,0.12876265678712837,10.0
www.digitaljournal.com,0.07207557720057721,0.14510338838638168,0.37395442520442523,0.14456978909019375,10.0
www.boxingnews24.com,-0.023825396825396822,0.10827319880705001,0.3177738095238095,0.33782770383243355,10.0
www.rte.ie,-0.02897630147630147,0.15791073800936556,0.22193667443667442,0.20079884731648465,10.0
www.slashfilm.com,0.1224109948693282,0.21443786524711686,0.4713765231681898,0.10773033599453027,10.0
